idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm
ub0768,MahlmannErnestine_MayerJohann_1802-03-16.xml,JP-UB0768,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-03-16,1802,3,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0264,RichterCaroline_MayerJohann_1802-03-23.xml,JP-UB0264,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-03-23,1802,3,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0486,RichterCaroline_Unbekannt_1802-03-30.xml,JP-UB0486,letters-context,Richter Caroline,Unbekannte Korrespondenten,1802-03-30,1802,3,1799,RichterCaroline,UnbekannteKorrespondenten
ub1247,SpazierJohann_SchellingFriedrich_1802-03-31.xml,JP-UB1247,letters-context,Spazier Johann Karl Gottlieb,Schelling Friedrich Wilhelm Joseph (ab 1812) von,1802-03-31,1802,3,1799,SpazierJohannKarlGottlieb,SchellingFriedrichWilhelmJosephab1812von
ub0748,GleimJohann_RichterCaroline_1802-04-02.xml,JP-UB0748,letters-context,Gleim Johann Wilhelm Ludwig,Richter Caroline,1802-04-02,1802,4,1799,GleimJohannWilhelmLudwig,RichterCaroline
ub0732,ThieriotPaul+RichterJohann+RichterCaroline_OsmundEmanuel_1802-04-11.xml,JP-UB0732,letters-context,Thieriot Paul Emile + Jean Paul + Richter Caroline,Osmund Emanuel,1802-04-11,1802,4,1799,ThieriotPaulEmileANDJeanPaulANDRichterCaroline,OsmundEmanuel
ub0353,MahlmannErnestine_MayerJohann_1802-04-14.xml,JP-UB0353,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-04-14,1802,4,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0661,OsmundEmanuel_GoldschmidtCaroline_1802-04-14.xml,JP-UB0661,letters-context,Osmund Emanuel,Goldschmidt Caroline,1802-04-14,1802,4,1799,OsmundEmanuel,GoldschmidtCaroline
ub0201,RichterCaroline_MayerJohann_1802-04-26.xml,JP-UB0201,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-04-26,1802,4,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0779,MahlmannErnestine_MayerJohann_1802-04-30.xml,JP-UB0779,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-04-30,1802,4,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0600,RichterCaroline_ThieriotPaul_1802-05-09.xml,JP-UB0600,letters-context,Richter Caroline,Thieriot Paul Emile,1802-05-09,1802,5,1799,RichterCaroline,ThieriotPaulEmile
ub0542,RichterJohann+RichterCaroline_MayerJohann_1802-05-20.xml,JP-UB0542,letters-context,Jean Paul + Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-05-20,1802,5,1799,JeanPaulANDRichterCaroline,MayerJohannSiegfriedWilhelm
ub0364,MahlmannErnestine_MayerJohann_1802-05-24.xml,JP-UB0364,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-05-24,1802,5,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0492,RichterCaroline_MayerJohann_1802-05-30.xml,JP-UB0492,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-05-30,1802,5,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0807,MahlmannErnestine_MayerJohann_1802-06-02.xml,JP-UB0807,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-06-02,1802,6,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0202,RichterJohann+RichterCaroline_OsmundEmanuel_1802-06-22.xml,JP-UB0202,letters-context,Jean Paul + Richter Caroline,Osmund Emanuel,1802-06-22,1802,6,1799,JeanPaulANDRichterCaroline,OsmundEmanuel
